"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;  59;"   19.01.2020";" 13:26:27.5543";"       N/A";"       N/A";" ";"Official";
   0;   0;  72;"   19.01.2020";" 13:51:27.1473";"       N/A";"       N/A";" ";"Official";
   0;   0;  60;"   19.01.2020";" 13:27:43.8971";"       N/A";"       N/A";" ";"        ";
   0;   0;  63;"   19.01.2020";" 13:36:05.1039";"       N/A";"       N/A";" ";"        ";
   0;   0;  61;"   19.01.2020";" 13:29:46.1186";"       N/A";"       N/A";" ";"Official";
   0;   0;  62;"   19.01.2020";" 13:34:12.3631";"       N/A";"       N/A";" ";"Official";
   0;   0;  65;"   19.01.2020";" 13:39:26.6775";"       N/A";"       N/A";" ";"Official";
   0;   0;  64;"   19.01.2020";" 13:37:58.5562";"       N/A";"       N/A";" ";"        ";
   0;   0;  68;"   19.01.2020";" 13:44:03.4071";"       N/A";"       N/A";" ";"Official";
   0;   0;  66;"   19.01.2020";" 13:41:01.2034";"       N/A";"       N/A";" ";"        ";
   0;   0;  69;"   19.01.2020";" 13:46:28.0342";"       N/A";"       N/A";" ";"Official";
   0;   0;  67;"   19.01.2020";" 13:42:16.8979";"       N/A";"       N/A";" ";"Official";
   0;   0;  70;"   19.01.2020";" 13:48:41.4256";"       N/A";"       N/A";" ";"        ";
   0;   0;  71;"   19.01.2020";" 13:50:09.3601";"       N/A";"       N/A";" ";"Official";
   0;   0;  35;"   19.01.2020";" 14:00:01.9998";"       N/A";"       N/A";" ";"        ";
   0;   0;  74;"   19.01.2020";" 14:02:14.8323";"       N/A";"       N/A";" ";"        ";
   0;   0;  75;"   19.01.2020";" 14:04:16.8395";"       N/A";"       N/A";" ";"        ";
   0;   0;  76;"   19.01.2020";" 14:07:03.3282";"       N/A";"       N/A";" ";"        ";
   0;   0;  77;"   19.01.2020";" 14:08:54.5658";"       N/A";"       N/A";" ";"        ";
   0;   0;  78;"   19.01.2020";" 14:10:35.5535";"       N/A";"       N/A";" ";"        ";
   0;   0;  79;"   19.01.2020";" 14:12:23.8443";"       N/A";"       N/A";" ";"        ";
   0;   0;  80;"   19.01.2020";" 14:18:07.8925";"       N/A";"       N/A";" ";"        ";
   0;   0;  36;"   19.01.2020";" 14:15:52.9506";"       N/A";"       N/A";" ";"Official";
   0;   0;  81;"   19.01.2020";" 14:20:43.0092";"       N/A";"       N/A";" ";"Official";
   0;   0;  82;"   19.01.2020";" 14:23:09.2066";"       N/A";"       N/A";" ";"        ";
   0;   0;  83;"   19.01.2020";" 14:25:17.0933";"       N/A";"       N/A";" ";"        ";
   0;   0;  84;"   19.01.2020";" 14:27:14.9324";"       N/A";"       N/A";" ";"Official";
   0;   0;  37;"   19.01.2020";" 14:35:34.7163";"       N/A";"       N/A";" ";"        ";
   0;   0;  85;"   19.01.2020";" 14:41:27.6315";"       N/A";"       N/A";" ";"        ";
   0;   0;  86;"   19.01.2020";" 14:47:29.2606";"       N/A";"       N/A";" ";"        ";
   0;   0;  38;"   19.01.2020";" 14:52:51.0850";"       N/A";"       N/A";" ";"        ";
   0;   0;  87;"   19.01.2020";" 14:58:38.0386";"       N/A";"       N/A";" ";"        ";
   0;   0;  39;"   19.01.2020";" 15:04:17.9243";"       N/A";"       N/A";" ";"        ";
   0;   0;  88;"   19.01.2020";" 15:09:10.5227";"       N/A";"       N/A";" ";"        ";
   0;   0;  40;"   19.01.2020";" 15:16:39.9444";"       N/A";"       N/A";" ";"        ";
