"Event";"Round";"Heat";"Date";"Hour";"Wind";"Temp";"File";"Official"
   0;   0;  29;"   26.01.2020";" 11:11:06.6956";"       N/A";"       N/A";" ";"        ";
   0;   0;  30;"   26.01.2020";" 11:13:10.1670";"       N/A";"       N/A";" ";"        ";
   0;   0;  67;"   26.01.2020";" 11:14:32.5104";"       N/A";"       N/A";" ";"        ";
   0;   0;  31;"   26.01.2020";" 11:16:10.1851";"       N/A";"       N/A";" ";"        ";
   0;   0;  68;"   26.01.2020";" 11:18:22.9162";"       N/A";"       N/A";" ";"        ";
   0;   0;  69;"   26.01.2020";" 11:19:52.1017";"       N/A";"       N/A";" ";"        ";
   0;   0;  70;"   26.01.2020";" 11:23:57.9711";"       N/A";"       N/A";" ";"        ";
   0;   0;  71;"   26.01.2020";" 11:26:41.8676";"       N/A";"       N/A";" ";"Official";
   0;   0;  32;"   26.01.2020";" 11:25:14.4032";"       N/A";"       N/A";" ";"        ";
   0;   0;  72;"   26.01.2020";" 11:28:22.8152";"       N/A";"       N/A";" ";"        ";
   0;   0;  35;"   26.01.2020";" 11:32:55.4323";"       N/A";"       N/A";" ";"        ";
   0;   0;  73;"   26.01.2020";" 11:34:57.0025";"       N/A";"       N/A";" ";"        ";
   0;   0;  74;"   26.01.2020";" 11:36:43.0238";"       N/A";"       N/A";" ";"        ";
   0;   0;  75;"   26.01.2020";" 11:38:48.8374";"       N/A";"       N/A";" ";"        ";
   0;   0;  76;"   26.01.2020";" 11:40:13.0437";"       N/A";"       N/A";" ";"        ";
   0;   0;  37;"   26.01.2020";" 11:41:38.0432";"       N/A";"       N/A";" ";"        ";
   0;   0;  77;"   26.01.2020";" 11:43:07.9769";"       N/A";"       N/A";" ";"        ";
   0;   0;  78;"   26.01.2020";" 11:44:55.3620";"       N/A";"       N/A";" ";"        ";
   0;   0;  79;"   26.01.2020";" 11:46:35.5013";"       N/A";"       N/A";" ";"        ";
   0;   0;  80;"   26.01.2020";" 11:48:00.1618";"       N/A";"       N/A";" ";"        ";
   0;   0;  38;"   26.01.2020";" 11:49:16.1058";"       N/A";"       N/A";" ";"        ";
   0;   0;  82;"   26.01.2020";" 11:50:21.1485";"       N/A";"       N/A";" ";"        ";
   0;   0;  83;"   26.01.2020";" 11:52:22.9604";"       N/A";"       N/A";" ";"Official";
   0;   0;  39;"   26.01.2020";" 11:56:25.3594";"       N/A";"       N/A";" ";"        ";
   0;   0;  84;"   26.01.2020";" 11:54:22.4213";"       N/A";"       N/A";" ";"        ";
   0;   0;  40;"   26.01.2020";" 11:58:36.2898";"       N/A";"       N/A";" ";"        ";
   0;   0;  86;"   26.01.2020";" 12:00:04.5693";"       N/A";"       N/A";" ";"        ";
   0;   0;  88;"   26.01.2020";" 12:02:57.7997";"       N/A";"       N/A";" ";"Official";
   0;   0;  87;"   26.01.2020";" 12:01:42.4366";"       N/A";"       N/A";" ";"        ";
   0;   0;  42;"   26.01.2020";" 12:05:34.6830";"       N/A";"       N/A";" ";"        ";
   0;   0;  89;"   26.01.2020";" 12:04:20.5085";"       N/A";"       N/A";" ";"Official";
   0;   0;  90;"   26.01.2020";" 12:06:49.0520";"       N/A";"       N/A";" ";"        ";
   0;   0;  91;"   26.01.2020";" 12:07:59.1846";"       N/A";"       N/A";" ";"        ";
   0;   0;  33;"   26.01.2020";" 12:12:46.9953";"       N/A";"       N/A";" ";"        ";
   0;   0;  34;"   26.01.2020";" 12:17:07.3746";"       N/A";"       N/A";" ";"        ";
   0;   0;  43;"   26.01.2020";" 12:54:54.6207";"       N/A";"       N/A";" ";"        ";
   0;   0;  44;"   26.01.2020";" 12:57:21.7526";"       N/A";"       N/A";" ";"        ";
   0;   0;  45;"   26.01.2020";" 12:59:37.7526";"       N/A";"       N/A";" ";"        ";
   0;   0;  46;"   26.01.2020";" 13:02:11.4032";"       N/A";"       N/A";" ";"        ";
   0;   0;  47;"   26.01.2020";" 13:04:52.7254";"       N/A";"       N/A";" ";"        ";
   0;   0;  48;"   26.01.2020";" 13:06:58.9576";"       N/A";"       N/A";" ";"        ";
   0;   0;  49;"   26.01.2020";" 13:09:40.3374";"       N/A";"       N/A";" ";"        ";
   0;   0;  50;"   26.01.2020";" 13:12:24.7081";"       N/A";"       N/A";" ";"        ";
   0;   0;  51;"   26.01.2020";" 13:15:09.2443";"       N/A";"       N/A";" ";"        ";
   0;   0; 100;"   26.01.2020";"        0.0000";"       N/A";"       N/A";" ";"        ";
   0;   0; 102;"   26.01.2020";" 13:26:22.5988";"       N/A";"       N/A";" ";"Official";
